Country,Ranking criterion,Quintile1,Metric,Variable,Value,Level 1 ,Category,Year,Calc Type,Quintile,lower,lower1
AT,educ,3,Employment change,"Manuf/utils,19_22",-3831.466,Sector,Manufacturing/utilties,2019–2022,Education,Mid,manufacturing/utilties,education
AT,educ,3,Employment change,"Construction,11_22",1966.7,Sector,Construction,2011–2022,Education,Mid,construction,education
AT,educ,3,Employment change,"Construction,11_19",323.91,Sector,Construction,2011–2019,Education,Mid,construction,education
AT,educ,3,Employment change,"Construction,19_22",1642.79,Sector,Construction,2019–2022,Education,Mid,construction,education
AT,educ,3,Employment change,"Agric/extractive,11_22",-22878.02,Sector,Agriculture,2011–2022,Education,Mid,agriculture,education
AT,educ,3,Employment change,"Agric/extractive,11_19",-19392.74,Sector,Agriculture,2011–2019,Education,Mid,agriculture,education
AT,educ,3,Employment change,"Agric/extractive,19_22",-3485.272,Sector,Agriculture,2019–2022,Education,Mid,agriculture,education
AT,educ,3,Employment change,"15-29,11_22",-21876.07,Age,15–29,2011–2022,Education,Mid,15–29,education
AT,educ,3,Employment change,"15-29,11_19",-13755.67,Age,15–29,2011–2019,Education,Mid,15–29,education
AT,educ,3,Employment change,"15-29,19_22",-8120.409,Age,15–29,2019–2022,Education,Mid,15–29,education
AT,educ,3,Employment change,"30-49,11_22",-23464.77,Age,30–49,2011–2022,Education,Mid,30–49,education
AT,educ,3,Employment change,"30-49,11_19",-20739.21,Age,30–49,2011–2019,Education,Mid,30–49,education
AT,educ,3,Employment change,"30-49,19_22",-2725.558,Age,30–49,2019–2022,Education,Mid,30–49,education
AT,educ,3,Employment change,"50-64,11_22",58281.28,Age,50–64,2011–2022,Education,Mid,50–64,education
AT,educ,3,Employment change,"50-64,11_19",61195.4,Age,50–64,2011–2019,Education,Mid,50–64,education
AT,educ,3,Employment change,"50-64,19_22",-2914.118,Age,50–64,2019–2022,Education,Mid,50–64,education
AT,educ,4,Employment change,"All employment,11_22",-7176.198,All,All,2011–2022,Education,Mid-high,all,education
AT,educ,4,Employment change,"All employment,11_19",-47094.44,All,All,2011–2019,Education,Mid-high,all,education
AT,educ,4,Employment change,"All employment,19_22",39918.24,All,All,2019–2022,Education,Mid-high,all,education
AT,educ,4,Employment change,"Non-core,11_22",45241.97,Core/non-core,Noncore,2011–2022,Education,Mid-high,noncore,education
AT,educ,4,Employment change,"Non-core,11_19",5221.442,Core/non-core,Noncore,2011–2019,Education,Mid-high,noncore,education
AT,educ,4,Employment change,"Non-core,19_22",40020.53,Core/non-core,Noncore,2019–2022,Education,Mid-high,noncore,education
AT,educ,4,Employment change,"Core,11_22",-51672.28,Core/non-core,Core,2011–2022,Education,Mid-high,core,education
AT,educ,4,Employment change,"Core,11_19",-52305.34,Core/non-core,Core,2011–2019,Education,Mid-high,core,education
AT,educ,4,Employment change,"Core,19_22",633.0561,Core/non-core,Core,2019–2022,Education,Mid-high,core,education
AT,educ,4,Employment change,"Full-time,11_22",-50811.8,Working hours,Full time,2011–2022,Education,Mid-high,full time,education
AT,educ,4,Employment change,"Full-time,11_19",-49533.63,Working hours,Full time,2011–2019,Education,Mid-high,full time,education
AT,educ,4,Employment change,"Full-time,19_22",-1278.173,Working hours,Full time,2019–2022,Education,Mid-high,full time,education
AT,educ,4,Employment change,"Part-time,11_22",42950.81,Working hours,Part time,2011–2022,Education,Mid-high,part time,education
AT,educ,4,Employment change,"Part-time,11_19",2175.292,Working hours,Part time,2011–2019,Education,Mid-high,part time,education
AT,educ,4,Employment change,"Part-time,19_22",40775.52,Working hours,Part time,2019–2022,Education,Mid-high,part time,education
AT,educ,4,Employment change,"Employee,11_22",-12620.88,Employment status,Employee,2011–2022,Education,Mid-high,employee,education
AT,educ,4,Employment change,"Employee,11_19",-62012.41,Employment status,Employee,2011–2019,Education,Mid-high,employee,education
AT,educ,4,Employment change,"Employee,19_22",49391.53,Employment status,Employee,2019–2022,Education,Mid-high,employee,education
AT,educ,4,Employment change,"Self-employe,11_22",1022.427,Employment status,Self employed,2011–2022,Education,Mid-high,self employed,education
AT,educ,4,Employment change,"Self-employe,11_19",12622.9,Employment status,Self employed,2011–2019,Education,Mid-high,self employed,education
AT,educ,4,Employment change,"Self-employe,19_22",-11600.48,Employment status,Self employed,2019–2022,Education,Mid-high,self employed,education
AT,educ,4,Employment change,"Permanent,11_22",-18528.85,Contractual status,Permanent,2011–2022,Education,Mid-high,permanent,education
AT,educ,4,Employment change,"Permanent,11_19",-58593.82,Contractual status,Permanent,2011–2019,Education,Mid-high,permanent,education
AT,educ,4,Employment change,"Permanent,19_22",40064.97,Contractual status,Permanent,2019–2022,Education,Mid-high,permanent,education
