Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),Gender,Slovenia,SI,female,0.039591864,11711
Affordability,Housing cost overburden rate (>40% of income),Gender,Slovakia,SK,male,0.057893306,6262
Affordability,Housing cost overburden rate (>40% of income),Gender,Slovakia,SK,female,0.060759734,7385
Affordability,Housing cost overburden rate (>40% of income),Household type,Austria,AT,One-person hhold,0.152293593,2441
Affordability,Housing cost overburden rate (>40% of income),Household type,Austria,AT,Lone parent with children,0.096398719,948
Affordability,Housing cost overburden rate (>40% of income),Household type,Austria,AT,"Couple, no children",0.040645018,3586
Affordability,Housing cost overburden rate (>40% of income),Household type,Austria,AT,"Couple, with children",0.027331188,5026
Affordability,Housing cost overburden rate (>40% of income),Household type,Belgium,BE,One-person hhold,0.266865313,2203
Affordability,Housing cost overburden rate (>40% of income),Household type,Belgium,BE,Lone parent with children,0.100134023,1845
Affordability,Housing cost overburden rate (>40% of income),Household type,Belgium,BE,"Couple, no children",0.047226902,3384
Affordability,Housing cost overburden rate (>40% of income),Household type,Belgium,BE,"Couple, with children",0.025782615,6488
Affordability,Housing cost overburden rate (>40% of income),Household type,Bulgaria,BG,One-person hhold,0.234917596,2874
Affordability,Housing cost overburden rate (>40% of income),Household type,Bulgaria,BG,Lone parent with children,0.14152658,1504
Affordability,Housing cost overburden rate (>40% of income),Household type,Bulgaria,BG,"Couple, no children",0.08369299,3812
Affordability,Housing cost overburden rate (>40% of income),Household type,Bulgaria,BG,"Couple, with children",0.076708965,4707
Affordability,Housing cost overburden rate (>40% of income),Household type,Cyprus,CY,One-person hhold,0.135633141,1050
Affordability,Housing cost overburden rate (>40% of income),Household type,Cyprus,CY,Lone parent with children,0.033708725,838
Affordability,Housing cost overburden rate (>40% of income),Household type,Cyprus,CY,"Couple, no children",0.02680951,2354
Affordability,Housing cost overburden rate (>40% of income),Household type,Cyprus,CY,"Couple, with children",0.010823837,5327
Affordability,Housing cost overburden rate (>40% of income),Household type,Czechia,CZ,One-person hhold,0.271868497,3131
Affordability,Housing cost overburden rate (>40% of income),Household type,Czechia,CZ,Lone parent with children,0.167754918,1841
Affordability,Housing cost overburden rate (>40% of income),Household type,Czechia,CZ,"Couple, no children",0.049958363,4962
Affordability,Housing cost overburden rate (>40% of income),Household type,Czechia,CZ,"Couple, with children",0.045273643,7329
Affordability,Housing cost overburden rate (>40% of income),Household type,Germany,DE,One-person hhold,0.263831437,14537
