Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Poland,2018,FROM 3 NON AROPE,77.3,,,,Children in formal childcare or education 
Poland,2019,FROM 3 NON AROPE,80,,,,Children in formal childcare or education 
Poland,2020,FROM 3 NON AROPE,75.1,,,,Children in formal childcare or education 
Poland,2021,FROM 3 NON AROPE,81.8,,,,Children in formal childcare or education 
Poland,2022,FROM 3 NON AROPE,79.3,,,,Children in formal childcare or education 
Poland,2023,FROM 3 NON AROPE,78.3,,,,Children in formal childcare or education 
Poland,2024,FROM 3 NON AROPE,80.4,,,,Children in formal childcare or education 
Portugal,2015,FROM 3 NON AROPE,94.8,,,,Children in formal childcare or education 
Portugal,2016,FROM 3 NON AROPE,94.5,,,,Children in formal childcare or education 
Portugal,2017,FROM 3 NON AROPE,96,,,,Children in formal childcare or education 
Portugal,2018,FROM 3 NON AROPE,96.4,,,,Children in formal childcare or education 
Portugal,2019,FROM 3 NON AROPE,96.8,,,,Children in formal childcare or education 
Portugal,2020,FROM 3 NON AROPE,91.2,,,,Children in formal childcare or education 
Portugal,2021,FROM 3 NON AROPE,88.7,,,,Children in formal childcare or education 
Portugal,2022,FROM 3 NON AROPE,91.2,,,,Children in formal childcare or education 
Portugal,2023,FROM 3 NON AROPE,88.8,,,,Children in formal childcare or education 
Portugal,2024,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Romania,2015,FROM 3 NON AROPE,68.8,,,,Children in formal childcare or education 
Romania,2016,FROM 3 NON AROPE,69.9,,,,Children in formal childcare or education 
Romania,2017,FROM 3 NON AROPE,62.8,,,,Children in formal childcare or education 
Romania,2018,FROM 3 NON AROPE,88.9,,,,Children in formal childcare or education 
Romania,2019,FROM 3 NON AROPE,80,,,,Children in formal childcare or education 
Romania,2020,FROM 3 NON AROPE,69.9,,,,Children in formal childcare or education 
Romania,2021,FROM 3 NON AROPE,65.3,,,,Children in formal childcare or education 
Romania,2022,FROM 3 NON AROPE,67.7,,,,Children in formal childcare or education 
Romania,2023,FROM 3 NON AROPE,71.7,,,,Children in formal childcare or education 
Romania,2024,FROM 3 NON AROPE,80.7,,,,Children in formal childcare or education 
Slovakia,2015,FROM 3 NON AROPE,74.7,,,,Children in formal childcare or education 
Slovakia,2016,FROM 3 NON AROPE,74.6,,,,Children in formal childcare or education 
Slovakia,2017,FROM 3 NON AROPE,57.8,,,,Children in formal childcare or education 
Slovakia,2018,FROM 3 NON AROPE,84.8,,,,Children in formal childcare or education 
Slovakia,2019,FROM 3 NON AROPE,83.7,,,,Children in formal childcare or education 
Slovakia,2020,FROM 3 NON AROPE,82,,,,Children in formal childcare or education 
Slovakia,2021,FROM 3 NON AROPE,77.2,,,,Children in formal childcare or education 
Slovakia,2022,FROM 3 NON AROPE,91.1,,,,Children in formal childcare or education 
Slovakia,2023,FROM 3 NON AROPE,79.4,,,,Children in formal childcare or education 
Slovakia,2024,FROM 3 NON AROPE,79.7,,,,Children in formal childcare or education 
Slovenia,2015,FROM 3 NON AROPE,93.7,,,,Children in formal childcare or education 
Slovenia,2016,FROM 3 NON AROPE,92.6,,,,Children in formal childcare or education 
Slovenia,2017,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Slovenia,2018,FROM 3 NON AROPE,94.6,,,,Children in formal childcare or education 
Slovenia,2019,FROM 3 NON AROPE,97.4,,,,Children in formal childcare or education 
